Financial Year,Financial Quarter,Force Name,Offence Description,Offence Group,Offence Subgroup,Offence Code,Number of Offences
2017/18,1,Warwickshire,Rape of a male child under 13,Sexual offences,Rape offences,19H, 7 
2017/18,1,Warwickshire,Rape of a male child under 16,Sexual offences,Rape offences,19G, 3 
2017/18,1,Warwickshire,Robbery of business property,Robbery,Robbery of business property,34A, 21 
2017/18,1,Warwickshire,Robbery of personal property,Robbery,Robbery of personal property,34B, 78 
2017/18,1,Warwickshire,Sexual activity etc with a person with a mental disorder,Sexual offences,Other sexual offences,70,-00 
2017/18,1,Warwickshire,Sexual activity involving a child under 13,Sexual offences,Other sexual offences,21, 46 
2017/18,1,Warwickshire,Sexual activity involving child under 16,Sexual offences,Other sexual offences,22B, 59 
2017/18,1,Warwickshire,Sexual assault on a female aged 13 and over,Sexual offences,Other sexual offences,20A, 76 
2017/18,1,Warwickshire,Sexual assault on a female child under 13,Sexual offences,Other sexual offences,20B, 24 
2017/18,1,Warwickshire,Sexual assault on a male aged 13 and over,Sexual offences,Other sexual offences,17A, 8 
2017/18,1,Warwickshire,Sexual assault on a male child under 13,Sexual offences,Other sexual offences,17B, 8 
2017/18,1,Warwickshire,Sexual grooming,Sexual offences,Other sexual offences,88A, 9 
2017/18,1,Warwickshire,Shoplifting,Theft offences,Shoplifting,46, 938 
2017/18,1,Warwickshire,Soliciting for the purposes of prostitution,Miscellaneous crimes,Miscellaneous crimes,27,-00 
2017/18,1,Warwickshire,Stalking,Violence against the person,Stalking and harassment,8Q, 24 
2017/18,1,Warwickshire,Theft by an employee,Theft offences,Other theft offences,41, 28 
2017/18,1,Warwickshire,Theft from automatic machine or meter,Theft offences,Other theft offences,47, 7 
2017/18,1,Warwickshire,Theft from the person,Theft offences,Theft from the person,39, 81 
2017/18,1,Warwickshire,Theft from vehicle,Theft offences,Theft from a vehicle,45, 661 
2017/18,1,Warwickshire,Theft in a dwelling other than from an automatic machine or meter,Theft offences,Other theft offences,40, 113 
2017/18,1,Warwickshire,Theft of mail,Theft offences,Other theft offences,42, 5 
2017/18,1,Warwickshire,Theft or unauthorised taking of a pedal cycle,Theft offences,Bicycle theft,44, 262 
2017/18,1,Warwickshire,Theft or unauthorised taking of motor vehicle,Theft offences,Theft of a motor vehicle,48, 220 
2017/18,1,Warwickshire,Threat or possession with intent to commit criminal damage,Miscellaneous crimes,Miscellaneous crimes,59, 41 
2017/18,1,Warwickshire,Threats to kill,Violence against the person,Violence without injury,3B, 28 
2017/18,1,Warwickshire,Trafficking for sexual exploitation,Sexual offences,Other sexual offences,72,-00 
2017/18,1,Warwickshire,Trafficking in controlled drugs,Drug offences,Trafficking of drugs,92A, 61 
2017/18,1,Warwickshire,Unnatural sexual offences,Sexual offences,Other sexual offences,88D,-00 
2017/18,1,Warwickshire,Violent disorder,Public order offences,Public order offences,62A, 8 
2017/18,1,Warwickshire,Wildlife,Miscellaneous crimes,Miscellaneous crimes,96,-00 
2017/18,1,West Mercia,Absconding from lawful custody,Miscellaneous crimes,Miscellaneous crimes,80, 9 
2017/18,1,West Mercia,Abuse of children through sexual exploitation,Sexual offences,Other sexual offences,71, 7 
2017/18,1,West Mercia,Abuse of position of trust of a sexual nature,Sexual offences,Other sexual offences,73, 2 
2017/18,1,West Mercia,Aggravated Burglary Business and Community,Theft offences,Non-domestic burglary,31A,-00 
2017/18,1,West Mercia,Aggravated burglary in a building other than a dwelling(outcome only),Theft offences,Non-domestic burglary,31,-00 
2017/18,1,West Mercia,Aggravated burglary in a dwelling (outcome only),Theft offences,Domestic burglary,29,-00 
2017/18,1,West Mercia,Aggravated Burglary Residential,Theft offences,Domestic burglary,29A, 3 
2017/18,1,West Mercia,Aggravated vehicle taking,Theft offences,Theft of a motor vehicle,37.2, 22 
2017/18,1,West Mercia,Aiding suicide,Miscellaneous crimes,Miscellaneous crimes,76, 1 
2017/18,1,West Mercia,Arson endangering life,Criminal damage and arson,Arson,56A, 15 
2017/18,1,West Mercia,Arson not endangering life,Criminal damage and arson,Arson,56B, 128 
2017/18,1,West Mercia,Assault with injury,Violence against the person,Violence with injury,8N, 2638 
2017/18,1,West Mercia,Assault with injury on a constable,Violence against the person,Violence with injury,8S, 48 
2017/18,1,West Mercia,Assault with intent to cause serious harm,Violence against the person,Violence with injury,5D, 128 
2017/18,1,West Mercia,Assault without injury,Violence against the person,Violence without injury,105A, 2832 
2017/18,1,West Mercia,Assault without injury on a constable,Violence against the person,Violence without injury,104, 102 
2017/18,1,West Mercia,Attempted Burglary Business and Community,Theft offences,Non-domestic burglary,30D, 90 
2017/18,1,West Mercia,Attempted burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30B,-00 
2017/18,1,West Mercia,Attempted burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28B,-00 
2017/18,1,West Mercia,Attempted Burglary Residential,Theft offences,Domestic burglary,28F, 233 
2017/18,1,West Mercia,Attempted distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28D,-00 
2017/18,1,West Mercia,Attempted Distraction Burglary Residential,Theft offences,Domestic burglary,28H, 2 
2017/18,1,West Mercia,Attempted murder,Violence against the person,Violence with injury,2, 2 
2017/18,1,West Mercia,Bail offences,Miscellaneous crimes,Miscellaneous crimes,83,-00 
2017/18,1,West Mercia,Bigamy,Miscellaneous crimes,Miscellaneous crimes,26, 1 
2017/18,1,West Mercia,Blackmail,Theft offences,Other theft offences,35, 32 
2017/18,1,West Mercia,Burglary Business and Community,Theft offences,Non-domestic burglary,30C, 544 
2017/18,1,West Mercia,Burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30A,-00 
2017/18,1,West Mercia,Burglary in a dwelling(outcome only),Theft offences,Domestic burglary,28A,-00 
2017/18,1,West Mercia,Burglary Residential,Theft offences,Domestic burglary,28E, 1239 
2017/18,1,West Mercia,Causing death by aggravated vehicle taking,Violence against the person,Violence with injury,37.1,-00 
2017/18,1,West Mercia,Causing death by careless driving under influence of drink or drugs,Violence against the person,Violence with injury,4.6,-00 
2017/18,1,West Mercia,Causing death by careless or inconsiderate driving,Violence against the person,Violence with injury,4.8,-00 
2017/18,1,West Mercia,Causing death by driving: unlicensed or disqualified or uninsured drivers,Violence against the person,Violence with injury,4.9,-00 
2017/18,1,West Mercia,Causing death or serious injury by dangerous driving,Violence against the person,Violence with injury,4.4,-00 
2017/18,1,West Mercia,Causing or allowing death of child or vulnerable person,Violence against the person,Violence with injury,4.7, 1 
2017/18,1,West Mercia,Causing sexual activity without consent,Sexual offences,Other sexual offences,22A, 1 
2017/18,1,West Mercia,Child abduction,Violence against the person,Violence without injury,13, 5 
2017/18,1,West Mercia,Concealing an infant death close to birth,Miscellaneous crimes,Miscellaneous crimes,15,-00 
2017/18,1,West Mercia,Conspiracy to murder,Violence against the person,Violence without injury,3A,-00 
2017/18,1,West Mercia,Criminal damage to a building other than a dwelling,Criminal damage and arson,Criminal damage,58B, 184 
2017/18,1,West Mercia,Criminal damage to a dwelling,Criminal damage and arson,Criminal damage,58A, 597 
2017/18,1,West Mercia,Criminal damage to a vehicle,Criminal damage and arson,Criminal damage,58C, 1076 
2017/18,1,West Mercia,Cruelty to children/young persons,Violence against the person,Violence without injury,11A, 91 
2017/18,1,West Mercia,Dangerous driving,Miscellaneous crimes,Miscellaneous crimes,802, 25 
2017/18,1,West Mercia,"Disclosure, obstruction, false or misleading statements etc",Miscellaneous crimes,Miscellaneous crimes,95,-00 
2017/18,1,West Mercia,Dishonest use of electricity,Theft offences,Other theft offences,43, 4 
2017/18,1,West Mercia,Distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28C,-00 
2017/18,1,West Mercia,Distraction Burglary Residential,Theft offences,Domestic burglary,28G, 11 
2017/18,1,West Mercia,Endangering life,Violence against the person,Violence with injury,5E, 6 
2017/18,1,West Mercia,Exploitation of prostitution,Miscellaneous crimes,Miscellaneous crimes,24,-00 
2017/18,1,West Mercia,Exposure and voyeurism,Sexual offences,Other sexual offences,88E, 41 
2017/18,1,West Mercia,Forgery or use of false drug prescription,Miscellaneous crimes,Miscellaneous crimes,60,-00 
2017/18,1,West Mercia,"Fraud, forgery etc associated with vehicle or driver records",Miscellaneous crimes,Miscellaneous crimes,814,-00 
2017/18,1,West Mercia,"Going equipped for stealing, etc",Miscellaneous crimes,Miscellaneous crimes,33, 10 
2017/18,1,West Mercia,Handling stolen goods,Miscellaneous crimes,Miscellaneous crimes,54, 28 
2017/18,1,West Mercia,Harassment,Violence against the person,Stalking and harassment,8L, 512 
2017/18,1,West Mercia,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,1,West Mercia,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,1,West Mercia,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2, 1 
2017/18,1,West Mercia,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2, 2 
2017/18,1,West Mercia,Incest or familial sexual offences,Sexual offences,Other sexual offences,23, 5 
2017/18,1,West Mercia,Intentional destruction of a viable unborn child,Violence against the person,Violence with injury,4.3, 1 
2017/18,1,West Mercia,Interfering with a motor vehicle,Theft offences,Vehicle interference,126, 160 
2017/18,1,West Mercia,Kidnapping,Violence against the person,Violence without injury,36, 26 
2017/18,1,West Mercia,Making off without payment,Theft offences,Other theft offences,49A, 426 
2017/18,1,West Mercia,"Making, supplying or possessing articles for use in fraud",Miscellaneous crimes,Miscellaneous crimes,33A, 3 
2017/18,1,West Mercia,Malicious Communications,Violence against the person,Stalking and harassment,8R, 1026 
2017/18,1,West Mercia,Modern slavery,Violence against the person,Violence without injury,106, 10 
2017/18,1,West Mercia,Obscene publications etc,Miscellaneous crimes,Miscellaneous crimes,86, 160 
2017/18,1,West Mercia,Offender Management Act offences,Miscellaneous crimes,Miscellaneous crimes,69, 18 
2017/18,1,West Mercia,Other criminal damage,Criminal damage and arson,Criminal damage,58D, 719 
2017/18,1,West Mercia,Other drug offences,Drug offences,Possession of drugs,92C, 2 
2017/18,1,West Mercia,Other firearms offences,Possession of weapons offences,Possession of weapons offences,81, 4 
2017/18,1,West Mercia,Other forgery,Miscellaneous crimes,Miscellaneous crimes,61, 39 
2017/18,1,West Mercia,Other knives offences,Possession of weapons offences,Possession of weapons offences,90,-00 
2017/18,1,West Mercia,Other miscellaneous sexual offences,Sexual offences,Other sexual offences,88C, 2 
2017/18,1,West Mercia,Other notifiable offences,Miscellaneous crimes,Miscellaneous crimes,99, 11 
2017/18,1,West Mercia,Other offences against the State or public order,Public order offences,Public order offences,66, 311 
2017/18,1,West Mercia,Other theft,Theft offences,Other theft offences,49, 1603 
2017/18,1,West Mercia,Perjury,Miscellaneous crimes,Miscellaneous crimes,67,-00 
2017/18,1,West Mercia,Perverting the course of justice,Miscellaneous crimes,Miscellaneous crimes,79, 52 
2017/18,1,West Mercia,Possession of article with blade or point,Possession of weapons offences,Possession of weapons offences,10D, 96 
2017/18,1,West Mercia,Possession of controlled drugs (Cannabis),Drug offences,Possession of drugs,92E, 388 
2017/18,1,West Mercia,Possession of controlled drugs (excl. Cannabis),Drug offences,Possession of drugs,92D, 122 
2017/18,1,West Mercia,Possession of false documents,Miscellaneous crimes,Miscellaneous crimes,61A, 2 
2017/18,1,West Mercia,Possession of firearms offences,Possession of weapons offences,Possession of weapons offences,10B, 15 
2017/18,1,West Mercia,Possession of firearms with intent,Possession of weapons offences,Possession of weapons offences,10A, 10 
2017/18,1,West Mercia,Possession of other weapons,Possession of weapons offences,Possession of weapons offences,10C, 76 
2017/18,1,West Mercia,Procuring illegal abortion,Violence against the person,Violence without injury,14,-00 
2017/18,1,West Mercia,Profiting from or concealing knowledge of the proceeds of crime,Miscellaneous crimes,Miscellaneous crimes,38, 10 
2017/18,1,West Mercia,"Public fear, alarm or distress",Public order offences,Public order offences,9A, 861 
2017/18,1,West Mercia,Racially or religiously aggravated assault with injury,Violence against the person,Violence with injury,8P, 20 
2017/18,1,West Mercia,Racially or religiously aggravated assault without injury,Violence against the person,Violence without injury,105B, 27 
2017/18,1,West Mercia,Racially or religiously aggravated criminal damage,Criminal damage and arson,Criminal damage,58J, 5 
2017/18,1,West Mercia,Racially or religiously aggravated harassment,Violence against the person,Stalking and harassment,8M,-00 
2017/18,1,West Mercia,"Racially or religiously aggravated public fear, alarm or distress",Public order offences,Public order offences,9B, 168 
2017/18,1,West Mercia,Rape of a female aged 16 and over,Sexual offences,Rape offences,19C, 185 
2017/18,1,West Mercia,Rape of a female child under 13,Sexual offences,Rape offences,19E, 46 
2017/18,1,West Mercia,Rape of a female child under 16,Sexual offences,Rape offences,19D, 36 
2017/18,1,West Mercia,Rape of a male aged 16 and over,Sexual offences,Rape offences,19F, 11 
2017/18,1,West Mercia,Rape of a male child under 13,Sexual offences,Rape offences,19H, 17 
2017/18,1,West Mercia,Rape of a male child under 16,Sexual offences,Rape offences,19G, 3 
2017/18,1,West Mercia,Robbery of business property,Robbery,Robbery of business property,34A, 9 
2017/18,1,West Mercia,Robbery of personal property,Robbery,Robbery of personal property,34B, 116 
2017/18,1,West Mercia,Sexual activity etc with a person with a mental disorder,Sexual offences,Other sexual offences,70, 1 
2017/18,1,West Mercia,Sexual activity involving a child under 13,Sexual offences,Other sexual offences,21, 84 
2017/18,1,West Mercia,Sexual activity involving child under 16,Sexual offences,Other sexual offences,22B, 144 
2017/18,1,West Mercia,Sexual assault on a female aged 13 and over,Sexual offences,Other sexual offences,20A, 189 
2017/18,1,West Mercia,Sexual assault on a female child under 13,Sexual offences,Other sexual offences,20B, 50 
2017/18,1,West Mercia,Sexual assault on a male aged 13 and over,Sexual offences,Other sexual offences,17A, 36 
2017/18,1,West Mercia,Sexual assault on a male child under 13,Sexual offences,Other sexual offences,17B, 25 
2017/18,1,West Mercia,Sexual grooming,Sexual offences,Other sexual offences,88A, 28 
2017/18,1,West Mercia,Shoplifting,Theft offences,Shoplifting,46, 1764 
2017/18,1,West Mercia,Soliciting for the purposes of prostitution,Miscellaneous crimes,Miscellaneous crimes,27,-00 
2017/18,1,West Mercia,Stalking,Violence against the person,Stalking and harassment,8Q, 56 
2017/18,1,West Mercia,Theft by an employee,Theft offences,Other theft offences,41, 51 
2017/18,1,West Mercia,Theft from automatic machine or meter,Theft offences,Other theft offences,47, 17 
2017/18,1,West Mercia,Theft from the person,Theft offences,Theft from the person,39, 163 
2017/18,1,West Mercia,Theft from vehicle,Theft offences,Theft from a vehicle,45, 887 
2017/18,1,West Mercia,Theft in a dwelling other than from an automatic machine or meter,Theft offences,Other theft offences,40, 302 
2017/18,1,West Mercia,Theft of mail,Theft offences,Other theft offences,42, 7 
2017/18,1,West Mercia,Theft or unauthorised taking of a pedal cycle,Theft offences,Bicycle theft,44, 297 
2017/18,1,West Mercia,Theft or unauthorised taking of motor vehicle,Theft offences,Theft of a motor vehicle,48, 268 
2017/18,1,West Mercia,Threat or possession with intent to commit criminal damage,Miscellaneous crimes,Miscellaneous crimes,59, 77 
2017/18,1,West Mercia,Threats to kill,Violence against the person,Violence without injury,3B, 121 
2017/18,1,West Mercia,Trafficking for sexual exploitation,Sexual offences,Other sexual offences,72,-00 
2017/18,1,West Mercia,Trafficking in controlled drugs,Drug offences,Trafficking of drugs,92A, 134 
2017/18,1,West Mercia,Unnatural sexual offences,Sexual offences,Other sexual offences,88D, 1 
2017/18,1,West Mercia,Violent disorder,Public order offences,Public order offences,62A, 15 
2017/18,1,West Mercia,Wildlife,Miscellaneous crimes,Miscellaneous crimes,96, 3 
2017/18,1,West Midlands,Absconding from lawful custody,Miscellaneous crimes,Miscellaneous crimes,80, 11 
2017/18,1,West Midlands,Abuse of children through sexual exploitation,Sexual offences,Other sexual offences,71, 2 
2017/18,1,West Midlands,Abuse of position of trust of a sexual nature,Sexual offences,Other sexual offences,73,-00 
2017/18,1,West Midlands,Aggravated Burglary Business and Community,Theft offences,Non-domestic burglary,31A, 2 
2017/18,1,West Midlands,Aggravated burglary in a building other than a dwelling(outcome only),Theft offences,Non-domestic burglary,31,-00 
2017/18,1,West Midlands,Aggravated burglary in a dwelling (outcome only),Theft offences,Domestic burglary,29,-00 
2017/18,1,West Midlands,Aggravated Burglary Residential,Theft offences,Domestic burglary,29A, 21 
2017/18,1,West Midlands,Aggravated vehicle taking,Theft offences,Theft of a motor vehicle,37.2, 78 
2017/18,1,West Midlands,Aiding suicide,Miscellaneous crimes,Miscellaneous crimes,76,-00 
2017/18,1,West Midlands,Arson endangering life,Criminal damage and arson,Arson,56A, 31 
2017/18,1,West Midlands,Arson not endangering life,Criminal damage and arson,Arson,56B, 241 
2017/18,1,West Midlands,Assault with injury,Violence against the person,Violence with injury,8N, 6276 
2017/18,1,West Midlands,Assault with injury on a constable,Violence against the person,Violence with injury,8S, 5 
2017/18,1,West Midlands,Assault with intent to cause serious harm,Violence against the person,Violence with injury,5D, 594 
2017/18,1,West Midlands,Assault without injury,Violence against the person,Violence without injury,105A, 2981 
2017/18,1,West Midlands,Assault without injury on a constable,Violence against the person,Violence without injury,104, 140 
2017/18,1,West Midlands,Attempted Burglary Business and Community,Theft offences,Non-domestic burglary,30D, 199 
2017/18,1,West Midlands,Attempted burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30B,-00 
2017/18,1,West Midlands,Attempted burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28B,-00 
2017/18,1,West Midlands,Attempted Burglary Residential,Theft offences,Domestic burglary,28F, 867 
2017/18,1,West Midlands,Attempted distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28D,-00 
2017/18,1,West Midlands,Attempted Distraction Burglary Residential,Theft offences,Domestic burglary,28H, 11 
2017/18,1,West Midlands,Attempted murder,Violence against the person,Violence with injury,2, 18 
2017/18,1,West Midlands,Bail offences,Miscellaneous crimes,Miscellaneous crimes,83, 1 
2017/18,1,West Midlands,Bigamy,Miscellaneous crimes,Miscellaneous crimes,26, 1 
2017/18,1,West Midlands,Blackmail,Theft offences,Other theft offences,35, 102 
2017/18,1,West Midlands,Burglary Business and Community,Theft offences,Non-domestic burglary,30C, 1511 
2017/18,1,West Midlands,Burglary in a building other than a dwelling (outcome only),Theft offences,Non-domestic burglary,30A,-00 
2017/18,1,West Midlands,Burglary in a dwelling(outcome only),Theft offences,Domestic burglary,28A,-00 
2017/18,1,West Midlands,Burglary Residential,Theft offences,Domestic burglary,28E, 3653 
2017/18,1,West Midlands,Causing death by aggravated vehicle taking,Violence against the person,Violence with injury,37.1, 1 
2017/18,1,West Midlands,Causing death by careless driving under influence of drink or drugs,Violence against the person,Violence with injury,4.6,-00 
2017/18,1,West Midlands,Causing death by careless or inconsiderate driving,Violence against the person,Violence with injury,4.8, 2 
2017/18,1,West Midlands,Causing death by driving: unlicensed or disqualified or uninsured drivers,Violence against the person,Violence with injury,4.9,-00 
2017/18,1,West Midlands,Causing death or serious injury by dangerous driving,Violence against the person,Violence with injury,4.4, 5 
2017/18,1,West Midlands,Causing or allowing death of child or vulnerable person,Violence against the person,Violence with injury,4.7,-00 
2017/18,1,West Midlands,Causing sexual activity without consent,Sexual offences,Other sexual offences,22A, 9 
2017/18,1,West Midlands,Child abduction,Violence against the person,Violence without injury,13, 20 
2017/18,1,West Midlands,Concealing an infant death close to birth,Miscellaneous crimes,Miscellaneous crimes,15,-00 
2017/18,1,West Midlands,Conspiracy to murder,Violence against the person,Violence without injury,3A,-00 
2017/18,1,West Midlands,Criminal damage to a building other than a dwelling,Criminal damage and arson,Criminal damage,58B, 557 
2017/18,1,West Midlands,Criminal damage to a dwelling,Criminal damage and arson,Criminal damage,58A, 1815 
2017/18,1,West Midlands,Criminal damage to a vehicle,Criminal damage and arson,Criminal damage,58C, 2932 
2017/18,1,West Midlands,Cruelty to children/young persons,Violence against the person,Violence without injury,11A, 1085 
2017/18,1,West Midlands,Dangerous driving,Miscellaneous crimes,Miscellaneous crimes,802, 36 
2017/18,1,West Midlands,"Disclosure, obstruction, false or misleading statements etc",Miscellaneous crimes,Miscellaneous crimes,95,-00 
2017/18,1,West Midlands,Dishonest use of electricity,Theft offences,Other theft offences,43, 13 
2017/18,1,West Midlands,Distraction burglary in a dwelling (outcome only),Theft offences,Domestic burglary,28C,-00 
2017/18,1,West Midlands,Distraction Burglary Residential,Theft offences,Domestic burglary,28G, 105 
2017/18,1,West Midlands,Endangering life,Violence against the person,Violence with injury,5E, 30 
2017/18,1,West Midlands,Exploitation of prostitution,Miscellaneous crimes,Miscellaneous crimes,24, 2 
2017/18,1,West Midlands,Exposure and voyeurism,Sexual offences,Other sexual offences,88E, 54 
2017/18,1,West Midlands,Forgery or use of false drug prescription,Miscellaneous crimes,Miscellaneous crimes,60, 7 
2017/18,1,West Midlands,"Fraud, forgery etc associated with vehicle or driver records",Miscellaneous crimes,Miscellaneous crimes,814, 3 
2017/18,1,West Midlands,"Going equipped for stealing, etc",Miscellaneous crimes,Miscellaneous crimes,33, 19 
2017/18,1,West Midlands,Handling stolen goods,Miscellaneous crimes,Miscellaneous crimes,54, 37 
2017/18,1,West Midlands,Harassment,Violence against the person,Stalking and harassment,8L, 892 
2017/18,1,West Midlands,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,1,West Midlands,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,1,West Midlands,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2,-00 
2017/18,1,West Midlands,Homicide,Violence against the person,Homicide,1/4.1/4.10/4.2, 7 
2017/18,1,West Midlands,Incest or familial sexual offences,Sexual offences,Other sexual offences,23, 2 
2017/18,1,West Midlands,Intentional destruction of a viable unborn child,Violence against the person,Violence with injury,4.3,-00 
2017/18,1,West Midlands,Interfering with a motor vehicle,Theft offences,Vehicle interference,126, 1238 
2017/18,1,West Midlands,Kidnapping,Violence against the person,Violence without injury,36, 66 
2017/18,1,West Midlands,Making off without payment,Theft offences,Other theft offences,49A, 2466 
2017/18,1,West Midlands,"Making, supplying or possessing articles for use in fraud",Miscellaneous crimes,Miscellaneous crimes,33A, 11 
2017/18,1,West Midlands,Malicious Communications,Violence against the person,Stalking and harassment,8R, 1306 
2017/18,1,West Midlands,Modern slavery,Violence against the person,Violence without injury,106, 32 
2017/18,1,West Midlands,Obscene publications etc,Miscellaneous crimes,Miscellaneous crimes,86, 203 
2017/18,1,West Midlands,Offender Management Act offences,Miscellaneous crimes,Miscellaneous crimes,69, 29 
2017/18,1,West Midlands,Other criminal damage,Criminal damage and arson,Criminal damage,58D, 937 
2017/18,1,West Midlands,Other drug offences,Drug offences,Possession of drugs,92C, 2 
2017/18,1,West Midlands,Other firearms offences,Possession of weapons offences,Possession of weapons offences,81, 4 
2017/18,1,West Midlands,Other forgery,Miscellaneous crimes,Miscellaneous crimes,61, 12 
2017/18,1,West Midlands,Other knives offences,Possession of weapons offences,Possession of weapons offences,90,-00 
2017/18,1,West Midlands,Other miscellaneous sexual offences,Sexual offences,Other sexual offences,88C,-00 
2017/18,1,West Midlands,Other notifiable offences,Miscellaneous crimes,Miscellaneous crimes,99, 73 
2017/18,1,West Midlands,Other offences against the State or public order,Public order offences,Public order offences,66, 524 
2017/18,1,West Midlands,Other theft,Theft offences,Other theft offences,49, 2900 
2017/18,1,West Midlands,Perjury,Miscellaneous crimes,Miscellaneous crimes,67, 1 
2017/18,1,West Midlands,Perverting the course of justice,Miscellaneous crimes,Miscellaneous crimes,79, 126 
2017/18,1,West Midlands,Possession of article with blade or point,Possession of weapons offences,Possession of weapons offences,10D, 258 
2017/18,1,West Midlands,Possession of controlled drugs (Cannabis),Drug offences,Possession of drugs,92E, 549 
2017/18,1,West Midlands,Possession of controlled drugs (excl. Cannabis),Drug offences,Possession of drugs,92D, 204 
2017/18,1,West Midlands,Possession of false documents,Miscellaneous crimes,Miscellaneous crimes,61A, 3 
2017/18,1,West Midlands,Possession of firearms offences,Possession of weapons offences,Possession of weapons offences,10B, 23 
2017/18,1,West Midlands,Possession of firearms with intent,Possession of weapons offences,Possession of weapons offences,10A, 49 
2017/18,1,West Midlands,Possession of other weapons,Possession of weapons offences,Possession of weapons offences,10C, 121 
2017/18,1,West Midlands,Procuring illegal abortion,Violence against the person,Violence without injury,14,-00 
2017/18,1,West Midlands,Profiting from or concealing knowledge of the proceeds of crime,Miscellaneous crimes,Miscellaneous crimes,38, 8 
2017/18,1,West Midlands,"Public fear, alarm or distress",Public order offences,Public order offences,9A, 1772 
2017/18,1,West Midlands,Racially or religiously aggravated assault with injury,Violence against the person,Violence with injury,8P, 92 
2017/18,1,West Midlands,Racially or religiously aggravated assault without injury,Violence against the person,Violence without injury,105B, 90 
2017/18,1,West Midlands,Racially or religiously aggravated criminal damage,Criminal damage and arson,Criminal damage,58J, 25 
2017/18,1,West Midlands,Racially or religiously aggravated harassment,Violence against the person,Stalking and harassment,8M, 42 
2017/18,1,West Midlands,"Racially or religiously aggravated public fear, alarm or distress",Public order offences,Public order offences,9B, 715 
2017/18,1,West Midlands,Rape of a female aged 16 and over,Sexual offences,Rape offences,19C, 425 
2017/18,1,West Midlands,Rape of a female child under 13,Sexual offences,Rape offences,19E, 80 
2017/18,1,West Midlands,Rape of a female child under 16,Sexual offences,Rape offences,19D, 93 
2017/18,1,West Midlands,Rape of a male aged 16 and over,Sexual offences,Rape offences,19F, 19 
2017/18,1,West Midlands,Rape of a male child under 13,Sexual offences,Rape offences,19H, 49 
2017/18,1,West Midlands,Rape of a male child under 16,Sexual offences,Rape offences,19G, 6 
2017/18,1,West Midlands,Robbery of business property,Robbery,Robbery of business property,34A, 239 
2017/18,1,West Midlands,Robbery of personal property,Robbery,Robbery of personal property,34B, 1465 
2017/18,1,West Midlands,Sexual activity etc with a person with a mental disorder,Sexual offences,Other sexual offences,70,-00 
2017/18,1,West Midlands,Sexual activity involving a child under 13,Sexual offences,Other sexual offences,21, 80 
2017/18,1,West Midlands,Sexual activity involving child under 16,Sexual offences,Other sexual offences,22B, 157 
2017/18,1,West Midlands,Sexual assault on a female aged 13 and over,Sexual offences,Other sexual offences,20A, 377 
2017/18,1,West Midlands,Sexual assault on a female child under 13,Sexual offences,Other sexual offences,20B, 134 
2017/18,1,West Midlands,Sexual assault on a male aged 13 and over,Sexual offences,Other sexual offences,17A, 38 
2017/18,1,West Midlands,Sexual assault on a male child under 13,Sexual offences,Other sexual offences,17B, 58 
2017/18,1,West Midlands,Sexual grooming,Sexual offences,Other sexual offences,88A, 22 
2017/18,1,West Midlands,Shoplifting,Theft offences,Shoplifting,46, 5071 
2017/18,1,West Midlands,Soliciting for the purposes of prostitution,Miscellaneous crimes,Miscellaneous crimes,27, 8 
2017/18,1,West Midlands,Stalking,Violence against the person,Stalking and harassment,8Q, 80 
2017/18,1,West Midlands,Theft by an employee,Theft offences,Other theft offences,41, 70 
2017/18,1,West Midlands,Theft from automatic machine or meter,Theft offences,Other theft offences,47, 128 
2017/18,1,West Midlands,Theft from the person,Theft offences,Theft from the person,39, 639 
2017/18,1,West Midlands,Theft from vehicle,Theft offences,Theft from a vehicle,45, 5209 
2017/18,1,West Midlands,Theft in a dwelling other than from an automatic machine or meter,Theft offences,Other theft offences,40, 508 
2017/18,1,West Midlands,Theft of mail,Theft offences,Other theft offences,42, 16 
2017/18,1,West Midlands,Theft or unauthorised taking of a pedal cycle,Theft offences,Bicycle theft,44, 993 
2017/18,1,West Midlands,Theft or unauthorised taking of motor vehicle,Theft offences,Theft of a motor vehicle,48, 2364 
2017/18,1,West Midlands,Threat or possession with intent to commit criminal damage,Miscellaneous crimes,Miscellaneous crimes,59, 200 
2017/18,1,West Midlands,Threats to kill,Violence against the person,Violence without injury,3B, 124 
2017/18,1,West Midlands,Trafficking for sexual exploitation,Sexual offences,Other sexual offences,72,-00 
